,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,4.173555200002738,stay,1.0470639999984996,98,98,98
1,1,7.8955516000132775,stay,0.8356370999972569,81,179,179
2,1,11.49545840000792,stay,1.0847016000043368,67,246,246
3,1,15.683376100001624,stay,0.8236837000004016,63,309,309
4,1,21.53159840000444,stay,1.1713951999990968,49,358,358
5,1,26.03749250000692,leave,0.9782151999970665,0,358,358
6,2,32.9134563000116,stay,0.687785400004941,95,95,453
7,2,36.921226000005845,stay,0.9620053000107873,81,176,534
8,2,40.4913663000043,stay,1.0487832999933744,69,245,603
9,2,46.05137500001001,stay,0.8424443999974756,59,304,662
10,2,49.729942700010724,stay,0.8038308000104735,50,354,712
11,2,53.12986100000853,leave,0.6878237999917474,0,354,712
12,3,59.06748380001227,stay,0.6749777999939397,98,98,810
13,3,62.555764000004274,stay,0.7471542000130285,80,178,890
14,3,65.71337550001044,stay,0.8215512000024319,71,249,961
15,3,69.37780159999966,stay,0.6523959000041941,60,309,1021
16,3,72.60965710000892,stay,0.7179330000071786,54,363,1075
17,3,75.91714530000172,stay,1.206939900002908,40,403,1115
18,3,79.80735980000463,leave,0.7324059000093257,0,403,1115
19,4,85.5136024000094,stay,0.8386642999976175,95,95,1210
20,4,89.35769129999971,stay,0.8661770000035176,77,172,1287
21,4,92.63957170001231,stay,0.7147645000077318,73,245,1360
22,4,96.88929080001253,stay,0.9143207000015536,58,303,1418
23,4,100.04961460000777,stay,1.0082440999976825,50,353,1468
24,4,103.65154340000299,leave,0.9110625999892363,0,353,1468
25,5,109.2358452000044,stay,0.6782051000045612,99,99,1567
26,5,112.96743880001304,stay,1.1096295000024838,76,175,1643
27,5,117.16135120000399,stay,1.1371057999931509,69,244,1712
28,5,121.01134740000998,stay,0.9376407999952789,55,299,1767
29,5,124.5855436999991,stay,0.8114750999957323,50,349,1817
30,5,128.1897289000044,leave,1.114700800011633,0,349,1817
31,6,134.0893350000115,stay,0.9323740999971051,90,90,1907
32,6,137.64769969999907,stay,0.8068695000110893,76,166,1983
33,6,141.30211319999944,stay,0.861352000007173,73,239,2056
34,6,145.3456232000026,stay,1.005434000006062,56,295,2112
35,6,150.12372080000932,leave,0.6994386000005761,0,295,2112
36,7,156.9777926000097,stay,0.7375420999887865,88,88,2200
37,7,160.52157029999944,stay,0.8983660000085365,75,163,2275
38,7,164.4502046000125,stay,0.876410400000168,65,228,2340
39,7,167.87953750000452,stay,1.03998520001187,62,290,2402
40,7,171.1014029000071,stay,0.7950445999886142,51,341,2453
41,7,174.50517180000315,leave,1.1651966000063112,0,341,2453
42,8,180.18384180001158,stay,0.827725900002406,94,94,2547
43,8,183.6733882000117,stay,0.7503784000000451,81,175,2628
44,8,187.19937539999955,stay,0.7764255999936722,73,248,2701
45,8,190.72569130000193,stay,0.7863501999963773,57,305,2758
46,8,195.31787690000783,leave,0.7115991999889957,0,305,2758
47,9,201.78369490000478,stay,0.5776558999932604,90,90,2848
48,9,205.1416525000095,stay,0.652416999990237,80,170,2928
49,9,208.27332180000667,stay,0.7343238000030397,68,238,2996
50,9,211.75976600000286,stay,0.5370968999923207,63,301,3059
51,9,214.8937050000095,stay,0.687759599997662,55,356,3114
52,9,221.25568270000804,stay,1.1008564999938244,36,392,3150
53,9,224.68140920001315,leave,1.0090399000036996,0,392,3150
54,10,231.4634570000053,stay,0.591408300009789,94,94,3244
55,10,235.06611810000322,stay,0.8105980999971507,76,170,3320
56,10,238.44981660001213,stay,0.91138449999562,66,236,3386
57,10,241.87152980000246,stay,1.066301899991231,60,296,3446
58,10,245.4375149000116,stay,0.932500800001435,45,341,3491
59,10,248.69759880000493,leave,0.909132500004489,0,341,3491
60,11,255.64351970001007,stay,0.60530270000163,99,99,3590
61,11,259.293780100008,stay,0.8888788999902317,81,180,3671
62,11,262.57968940000865,stay,0.924972799999523,72,252,3743
63,11,265.80327150000085,stay,0.8819511000037892,60,312,3803
64,11,269.20756800001254,stay,0.8532505000039237,51,363,3854
65,11,272.59183360000316,leave,1.0869483999995282,0,363,3854
66,12,278.18961760000093,stay,0.8184238999965601,93,93,3947
67,12,281.46564870000293,stay,0.5449146000028122,84,177,4031
68,12,284.4115613000031,stay,0.7740166000003228,74,251,4105
69,12,287.4580331000034,stay,0.6701153000030899,62,313,4167
70,12,291.32736750000913,stay,0.5568418000038946,51,364,4218
71,12,294.3275996000011,leave,0.5401850999915041,0,364,4218
