Unnamed: 0,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
5,1,26.03749250000692,leave,0.9782151999970664,0,358,358
11,2,53.12986100000853,leave,0.6878237999917474,0,354,712
18,3,79.80735980000463,leave,0.7324059000093257,0,403,1115
24,4,103.651543400003,leave,0.9110625999892364,0,353,1468
30,5,128.1897289000044,leave,1.114700800011633,0,349,1817
35,6,150.12372080000932,leave,0.6994386000005761,0,295,2112
41,7,174.50517180000315,leave,1.1651966000063112,0,341,2453
46,8,195.31787690000783,leave,0.7115991999889957,0,305,2758
53,9,224.68140920001315,leave,1.0090399000036996,0,392,3150
59,10,248.69759880000493,leave,0.909132500004489,0,341,3491
65,11,272.59183360000316,leave,1.0869483999995282,0,363,3854
71,12,294.3275996000011,leave,0.5401850999915041,0,364,4218
